gene	logFC	pvalue	fdr	LR
TMEM236	8.24887225984864	6.93680691514345e-20	7.08353089171224e-18	83.3319857273179
CIT	-6.4652012834173	7.88873350158456e-20	8.00706450410833e-18	83.0777834248175
WAS	8.99511890313406	8.96320619468337e-20	9.04317731582157e-18	82.8253722143081
CDC6	-6.35720090692378	1.06040286589444e-19	1.06349570758664e-17	82.4930883019483
RRAS2	-6.07508645235634	1.16246880829094e-19	1.15896076632509e-17	82.3114478428943
BRIP1	-5.8175041560144	1.1968304110524e-19	1.1861997409307e-17	82.253870116358
FABP3	7.76380251412814	1.37304134744576e-19	1.35288734872009e-17	81.9823969892446
BEX3	-5.97661693160662	1.42000146148401e-19	1.39102352468279e-17	81.9159300600227
TTC39B	5.38201106824772	1.51265859733893e-19	1.47322454951235e-17	81.7909994079939
GTSE1	-6.63061110839992	1.83014503759445e-19	1.77219044473729e-17	81.414454146685
TMC8	9.6557627994778	1.86109461089296e-19	1.79186189136774e-17	81.3813126693299
DZIP1	-10.0012432900643	2.02624101196229e-19	1.93978038696322e-17	81.2132963030804
WWC1	-13.9791102308524	3.11358649077981e-19	2.96388806684457e-17	80.3643731328404
C1ORF162	9.88348297174256	3.22382128054825e-19	3.05158228966053e-17	80.2956246382286
ATP2A3	8.40808904738076	3.30027703705347e-19	3.10650099426334e-17	80.2493099993147
APOL4	13.0696630759848	3.34529112587389e-19	3.13137834332495e-17	80.2225411703341
ZFHX4	-13.5417187558116	3.37967781242675e-19	3.14608792605405e-17	80.2023338501809
RAB42	8.82213727671042	4.215840439742e-19	3.90289536094576e-17	79.7655291297057
TMEM47	-14.0085654835255	4.66886685807209e-19	4.29867419080091e-17	79.5638657678951
C11ORF21	9.74625990009988	5.19169561515369e-19	4.75406953368068e-17	79.3541545041922
ARHGAP9	9.56165304231984	5.35193862444972e-19	4.87431426396504e-17	79.2940966315693
BIRC5	-7.82468475792067	5.38853390900995e-19	4.88125848564025e-17	79.2806334168724
LILRB4	14.9453596730497	6.06083947912361e-19	5.46091360340929e-17	79.0483478488859
PTPN14	-8.97886664004068	6.0992751177062e-19	5.46631310948041e-17	79.0358588617505
CCNB1	-4.89190953936052	6.42107634630581e-19	5.69414291362666e-17	78.9342825503288
CDCA2	-6.6024412470032	6.41311452525876e-19	5.69414291362666e-17	78.9367336802027
ALOX15	9.54843241690587	6.962674797535e-19	6.14209987767891e-17	78.7743069305075
PTPRC	13.9701244730744	7.22046148389144e-19	6.33633101781702e-17	78.7024869283019
NCF4	14.0361825566469	7.90792910242147e-19	6.90366308013986e-17	78.5228234556878
TBX2	-13.2484780872198	8.99041451276563e-19	7.8082213466798e-17	78.2693924708501
PLEK	12.0144686213835	9.83797000842327e-19	8.50051059856019e-17	78.0914330475847
NEIL3	-8.71010970945349	9.93778109986551e-19	8.54294253834868e-17	78.0714935052913
CORO1A	6.80579657499811	1.61629064718152e-18	1.38237975199804e-16	77.1108242445959
NLGN2	-6.92882527332258	2.0734303325977e-18	1.76440543807771e-16	76.6189259699486
MOXD1	-8.47090124144619	2.12457212408999e-18	1.79883998586896e-16	76.5708067202541
TLR8	13.9898819071397	2.26114896286321e-18	1.90490494376411e-16	76.4477700289817
FGF2	-15.8565519169741	2.53881041571134e-18	2.12817993504081e-16	76.2190474717696
TMEM91	6.4764564633106	4.07733063874114e-18	3.40093781842324e-16	75.2835964235576
ZNF367	-6.02378499812772	4.93759296299791e-18	4.09820215928826e-16	74.9056328151819
PPM1M	4.48168452956383	5.55606811008373e-18	4.58893096013729e-16	74.6726444082661
EMP2	-12.3093639947311	6.13259382246765e-18	5.04039382023207e-16	74.4777379339719
PCARE	13.9971572398248	6.39602336273537e-18	5.23138823488972e-16	74.3947079472524
PKMYT1	-5.43051790302072	7.28716982564547e-18	5.9314746083237e-16	74.137209955848
RBM47	4.92869696241875	7.99606189918879e-18	6.47719456439576e-16	73.9539542972066
SLC7A7	7.79472828285505	1.06103535149461e-17	8.55377255374773e-16	73.3955780170698
SLC29A3	5.75605371011975	1.08172678732596e-17	8.63792163016829e-16	73.357457330158
TRIM2	-7.975804573903	1.07826425251226e-17	8.63792163016829e-16	73.3637854095941
OSCAR	9.03294358424136	1.13123181594209e-17	8.99062493717375e-16	73.2691342402563
TSPAN32	8.70261141697666	1.16522377662065e-17	9.21730301046069e-16	73.2106996390196
SIGLEC8	14.0187112096492	1.25340222129997e-17	9.86849253583324e-16	73.0667207718513
KIF18B	-8.02386430762274	1.6848589977194e-17	1.31426802095251e-15	72.4828959739212
LILRB1	16.0634216798459	1.68139294624007e-17	1.31426802095251e-15	72.486959947157
AGAP1	-6.53922124374072	1.79580936362411e-17	1.39435907685266e-15	72.3570409640933
ITGAM	10.0081211304399	1.87615991601145e-17	1.45006506536133e-15	72.2706619647301
DLX1	-13.124860984918	1.88890466797829e-17	1.45324907537746e-15	72.2573019867484
KIF18A	-7.02134488774558	1.97712771087332e-17	1.51421021820475e-15	72.167221019306
NECTIN3	-7.16594398662685	2.0098618119098e-17	1.53056645144271e-15	72.1348168127503
SLC39A14	-6.17969494762452	2.01665233675757e-17	1.53056645144271e-15	72.1281608741487
FABP4	14.5169922579109	2.0670244921225e-17	1.56176213756825e-15	72.0794760267476
ZFP92	9.4274311162974	2.14629021136852e-17	1.61441266836376e-15	72.0052184876765
CENPF	-6.58379565552543	2.16825778919462e-17	1.62368779956178e-15	71.9851241025044
ENSG00000280323	-13.3341639960527	2.34140714600173e-17	1.74559154880456e-15	71.8335212032401
HMMR	-6.07319865375588	2.5120361132768e-17	1.86455050540092e-15	71.6947217576764
DTL	-6.93492728897208	2.52522889660791e-17	1.86612200346257e-15	71.6843859924715
FCGR2B	12.8931998397816	2.63197505510864e-17	1.93651300015395e-15	71.6026908287423
TROAP	-7.52780540374655	2.84176164987445e-17	2.08177574081455e-15	71.4513717367747
TBC1D8	5.05925069034027	2.90714841067796e-17	2.12045643166723e-15	71.4064866211845
PRKAA2	-14.3542312286064	3.04358936020737e-17	2.21040677285061e-15	71.3159917529562
MAD2L1	-5.6121098388769	3.13134305592506e-17	2.2643776458919e-15	71.2599088483509
FZD6	-5.94177416362547	3.19609025356964e-17	2.30132156762371e-15	71.2195282500877
KIAA1549	-6.64518705415742	3.37496182147083e-17	2.41977581829625e-15	71.1120867729842
TICRR	-8.42566000585008	3.83365330091486e-17	2.73700103674214e-15	70.8606667735226
CARD9	5.35215211693876	3.93916603451549e-17	2.80046449432707e-15	70.8071013585738
ELOVL6	-7.43439740727061	4.00800813381787e-17	2.83743399355871e-15	70.7729207197003
EFNB2	-7.83423357334636	4.0464605008685e-17	2.84078387413056e-15	70.7540835664299
LIPA	8.2081820656612	4.03588332409429e-17	2.84078387413056e-15	70.7592472297957
SLC38A1	-5.9148763000349	4.06580934097612e-17	2.84252371726584e-15	70.7446725179254
PYCARD	11.2583573197529	4.12354759450237e-17	2.8709774140401e-15	70.7168533479691
AKT3	-4.32266662430305	5.03618823473002e-17	3.49196442662412e-15	70.3224268160611
CLSPN	-5.56387148787328	5.19059761944258e-17	3.58427783975361e-15	70.262853077466
CCN1	-13.910184716547	5.30045779294944e-17	3.64520054503694e-15	70.2215368989681
COL27A1	-11.171820721894	5.62830034661737e-17	3.85492815203886e-15	70.1031506067757
ITGAL	10.2061771276671	5.82774921216516e-17	3.97537435124578e-15	70.0344580897434
LY75	13.9102435921412	5.93298223161601e-17	4.03083942018138e-15	69.9991565341306
LYZ	16.4297793851566	6.05740728864905e-17	4.09884559865253e-15	69.9582161851793
MAP9	-7.96107913667245	6.09667040560266e-17	4.10891198655997e-15	69.9454716663572
MKI67	-5.59035297191721	6.61146190194378e-17	4.43810842971517e-15	69.7855750215836
SV2A	-11.158928567154	6.64341477818756e-17	4.44186093641596e-15	69.7760650319194
CENPE	-5.4501967562509	6.80489960384626e-17	4.53184796147058e-15	69.7286924227506
NDC80	-7.58634634264604	7.28782701338602e-17	4.83435422632051e-15	69.5934565702564
ENSG00000237181	13.5402959441568	7.50997074357537e-17	4.96217635523535e-15	69.5342327541674
PLXNC1	6.83688740195224	7.62831862464151e-17	5.02068517603847e-15	69.5033926710712
AURKB	-7.00179837318527	9.32913889923438e-17	6.11621250245915e-15	69.1064156500681
LYL1	11.9031730108568	1.11408656948946e-16	7.27567620516584e-15	68.7564012785444
C12ORF75	-7.15075022265575	1.27900910024631e-16	8.32047271430502e-15	68.484159071106
BUB1	-5.32731152605935	1.34733367736582e-16	8.73124043459105e-15	68.381533892545
KCNH3	-6.58965028092014	1.69323169672555e-16	1.09307512866394e-14	67.9309412316985
NR4A3	6.69556810372655	2.16602255324267e-16	1.39295091601472e-14	67.4454093123884
PHOSPHO1	7.81500527082387	2.22735609597548e-16	1.42694763730384e-14	67.3903578541413
OSBPL6	-9.96045546352239	2.25502159462929e-16	1.43919919878443e-14	67.3660205077021
WEE1	-4.87814616780479	2.31537657149426e-16	1.47214263596629e-14	67.3139467951797
PDLIM1	-5.91536552785236	2.44730241716606e-16	1.55017287318913e-14	67.2046979849492
CDC20	-4.98436071935458	2.45775823726681e-16	1.55096511384676e-14	67.1962930156136
WDFY4	11.1873535790213	2.50097230625783e-16	1.57234635776635e-14	67.161930457874
ACVRL1	9.36953042970729	2.55109686010199e-16	1.59789706304306e-14	67.1228092712109
SERPINE2	-9.81734067511377	2.8881011373657e-16	1.80228207642499e-14	66.8782067334791
NCKAP1	-5.32328435614938	3.00534517424346e-16	1.86852623028886e-14	66.7997612597096
PTTG1	-4.46672296603306	3.04175078323267e-16	1.88420804951056e-14	66.7760250588709
LTBP1	-12.3650342349701	3.20566112246053e-16	1.97846828763141e-14	66.6725621633802
P3H4	-5.75287322617156	3.32579340713855e-16	2.04512018674735e-14	66.6000402025379
UCP3	7.11617631253378	3.63987116888802e-16	2.23011597543979e-14	66.4221596406137
MRC1	14.819177302044	3.65345160095071e-16	2.23032630523255e-14	66.4148189070611
KIF20A	-6.84335131004891	4.33978774571439e-16	2.63975031507371e-14	66.0754909542022
CACNA2D1	-13.5926998401264	4.55157431539228e-16	2.75640636309182e-14	65.9815776561262
CD4	8.58599411867505	4.56429090926832e-16	2.75640636309182e-14	65.9760786603072
NUF2	-6.4348484739399	4.62580320811731e-16	2.78357708048459e-14	65.9496936538974
PGAP4	-13.5375026445841	4.84321491932861e-16	2.90403303116611e-14	65.8591709331165
PSD4	5.35290231143702	4.90049968819754e-16	2.92796167540569e-14	65.8359960478207
CLEC4G	13.8202090885182	5.5756569542298e-16	3.31958459441053e-14	65.5816117425687
CCR5	16.112319742856	5.99603364746955e-16	3.54481301495489e-14	65.4383602037206
TTLL7	-7.86219050609605	5.98155149637624e-16	3.54481301495489e-14	65.4431258720044
XRCC2	-6.44019482878079	6.64294066193021e-16	3.91352822422595e-14	65.2364493239992
MREG	5.86624439437692	6.96879826262945e-16	4.09119449223149e-14	65.1420794916132
CD86	14.4535904256995	7.84636221793056e-16	4.59039434062194e-14	64.9083565040495
LIFR	-14.019528548128	8.3212700627772e-16	4.85138682656516e-14	64.7925610705242
ID1	-10.2053354099749	9.15933078097269e-16	5.32157118374513e-14	64.6034830397117
HVCN1	9.03313976695348	1.05765840046424e-15	6.12387848433747e-14	64.3200148262174
PTK7	-6.91955856938481	1.07542405186954e-15	6.20541775683212e-14	64.2871951637012
KIF20B	-4.14300402500232	1.08402831810021e-15	6.233717792379e-14	64.2714944023074
NLRC4	7.2988873534429	1.11956703432269e-15	6.4161853609874e-14	64.207939087569
SNX7	-8.60329311932313	1.14319140877779e-15	6.52936679542272e-14	64.1667978732963
SLC26A11	5.91851886703123	1.17207563384111e-15	6.67172376844218e-14	64.1176373003982
ENSG00000261269	15.6011745200144	1.22605153910151e-15	6.95546881559643e-14	64.0289361861716
DLX2	-13.6483350149774	1.74254591800156e-15	9.85240140013702e-14	63.3363970136521
TYRO3	-6.73670643853852	1.84384988771738e-15	1.03903099525586e-13	63.2250873456051
ITM2C	-5.80515717060668	1.91127975918708e-15	1.07343842208477e-13	63.1543393737359
MECOM	-10.97749232904	2.10342194838868e-15	1.17742712320269e-13	62.9656583825772
EFNA5	-13.0206928801795	2.21191949868668e-15	1.23406065011165e-13	62.8665960709767
MGMT	13.4618367928632	2.30018306967835e-15	1.27906879673302e-13	62.7895303750878
SPN	12.4330640178994	2.46801773566532e-15	1.36788259303372e-13	62.6508232685869
PLCB2	10.5098649408979	2.51294197517837e-15	1.38821506032067e-13	62.6152959304445
CYBB	9.47966131028885	2.54383585975389e-15	1.40068922879063e-13	62.5912310242256
CD83	5.28011517088477	2.56787421297269e-15	1.4047439160512e-13	62.5727076699375
NUSAP1	-4.12133301000217	2.55979232372796e-15	1.4047439160512e-13	62.578915942548
FCHO1	7.38268209554734	2.78403608091089e-15	1.51806549926432e-13	62.4135324877424
KLF12	-5.19931692588618	3.20388740139141e-15	1.74136447825948e-13	62.136915590447
EPHB4	-10.6543157129251	3.28369164558278e-15	1.77900066033519e-13	62.0884655096649
ASS1	-9.90918301773728	3.47847337948917e-15	1.87417866180385e-13	61.9749896655837
TMEM130	8.91058309781065	3.48161861917386e-15	1.87417866180385e-13	61.973209937875
PRSS21	13.7240003523307	3.63909600627288e-15	1.95271110221948e-13	61.8860984289114
NEK2	-9.13215678718308	3.7010786522507e-15	1.97966584799276e-13	61.8528418314925
CIP2A	-4.54306472505209	3.92278143381654e-15	2.09161216387262e-13	61.7382866668052
RENBP	6.72586600434331	4.6162049487435e-15	2.45357845998042e-13	61.4177906856558
INPP5D	7.51970292948335	4.63297573626337e-15	2.45474868491514e-13	61.4106505545267
